pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_orbsmax,rowupdate,pl_vol_earth,pl_mass_kg,pl_density,insolation_flux
Kepler-52 b,Kepler-52,7.87761021,1.93,,,499.0,3898.0,0.54,0.56,Transit,2012,0.0637,2016-02-24,7787236267998.381,,,14.947573734442448
Kepler-52 b,Kepler-52,7.87740709,2.7,,,797.0,4242.0,0.63,0.66,Transit,2012,,2016-05-06,21320761744274.973,,,
Kepler-52 b,Kepler-52,7.88,2.4,,,797.0,4163.9,0.63,0.624,Transit,2012,,2024-06-10,14974252418475.695,,,
Kepler-52 b,Kepler-52,,2.176,,,797.0,4127.0,0.621,,Transit,2012,,2018-09-04,11160614249353.838,,,
Kepler-52 b,Kepler-52,7.877356,2.21,,0.0,541.0,4222.0,0.548,0.577,Transit,2012,0.065,2013-10-28,11691984894671.621,,,20.34707706011538
Kepler-52 b,Kepler-52,7.87740709,2.33,,0.0,500.0,3898.0,0.54,0.56,Transit,2012,0.0639,2015-08-25,13701849331912.914,,,14.85415162739849
Kepler-52 b,Kepler-52,7.87740709,2.33,,0.0,500.0,3898.0,0.54,0.56,Transit,2012,0.0639,2014-11-18,13701849331912.914,,,14.85415162739849
Kepler-197 d,Kepler-197,15.67757,1.36,,0.0,822.0,5877.0,1.18,0.864,Transit,2014,0.117,2013-10-28,2724759338221.1533,,,109.32255277638575
Kepler-197 d,Kepler-197,15.67750191,1.42,,0.0,810.0,6003.0,1.109,0.902,Transit,2014,0.1185,2017-05-08,3101533366521.4434,,,102.46946656009729
Kepler-197 d,Kepler-197,15.67756112,1.191,,0.0,797.0,,,0.857,Transit,2014,0.116444539,2024-02-21,1829981540861.6096,,,
Kepler-197 d,Kepler-197,15.67756112,1.15,,,797.0,6180.0,1.17,1.01,Transit,2014,,2016-05-06,1647422319657.7852,,,
Kepler-197 d,Kepler-197,15.67756112,1.191,,,797.0,5945.0,1.163,0.857,Transit,2014,0.11646,2024-12-05,1829981540861.6096,,,112.22975220941848
Kepler-197 d,Kepler-197,15.677563,1.22,,,797.0,6004.0,1.12,,Transit,2014,0.119,2014-05-14,1966939113540.5278,,,103.70496927353472
Kepler-197 d,Kepler-197,15.67756112,1.15,,0.0,811.0,6004.0,1.12,0.922,Transit,2014,0.1194,2015-08-25,1647422319657.7852,,,103.01129249559668
Kepler-197 d,Kepler-197,15.67756112,1.15,,0.0,811.0,6004.0,1.12,0.922,Transit,2014,0.1194,2014-11-18,1647422319657.7852,,,103.01129249559668
Kepler-197 d,Kepler-197,15.67787,1.244,,0.03,797.0,5963.52,1.20944,1.093,Transit,2014,,2015-05-21,2085319313889.156,,,
Kepler-197 d,Kepler-197,15.67756112,1.15,,0.0,811.0,6004.0,1.12,0.922,Transit,2014,0.1194,2014-11-21,1647422319657.7852,,,103.01129249559668
Kepler-197 d,Kepler-197,,1.5,,,797.0,5945.0,1.169,,Transit,2014,,2018-09-04,3655823344354.4185,,,
K2-183 d,K2-183,22.631964,2.86,,,615.0,5519.0,0.97,0.93,Transit,2018,0.1527,2018-10-24,25340169989510.156,,,33.72886141770327
K2-183 d,K2-183,22.634594,17.4,,,797.0,,0.92,,Transit,2018,,2017-12-14,5706360034909433.0,,,
K2-183 d,K2-183,22.620344,2.3,,,797.0,5482.0,0.87,,Transit,2018,,2022-03-28,13179378557262.281,,,
K2-183 d,K2-183,22.629496,2.54112738,,,797.0,5482.0,0.873283,0.942219,Transit,2018,,2018-10-24,17774227371099.613,,,
K2-183 d,K2-183,22.6302,5.2,,,797.0,,0.984,,Transit,2018,,2019-09-05,152307558163847.78,,,
K2-187 e,K2-187,13.60496,2.69,,,797.0,,0.919,,Transit,2018,,2019-09-05,21084740705956.52,,,
K2-187 e,K2-187,13.606629,1.9,,,797.0,5438.0,0.83,,Transit,2018,,2022-03-28,7429716242645.023,,,
K2-187 e,K2-187,13.608511,2.5,,,797.0,,0.96,,Transit,2018,,2017-12-14,16925108075714.9,,,
K2-187 e,K2-187,13.609878,2.38,,,698.0,5484.0,0.92,0.98,Transit,2018,0.1106,2018-10-24,14603007078278.984,,,56.38322273780802
K2-187 e,K2-187,13.608341,2.25541631,,,797.0,5477.0,0.894913,0.966999,Transit,2018,,2018-10-24,12427723283229.023,,,
K2-187 c,K2-187,2.872042,1.8,,,1173.0,5484.0,0.92,0.98,Transit,2018,0.0392,2018-10-24,6317262739044.437,,,448.83634324829075
K2-187 c,K2-187,2.871348,1.8,,,797.0,,0.96,,Transit,2018,,2017-12-14,6317262739044.437,,,
